the_geom,marker_id,meter_id,bay_id,last_edit,rd_seg_id,rd_seg_dsc,mean_lat,mean_long,location
"MULTIPOLYGON (((144.96903403458 -37.815067690829, 144.96905445196 -37.815111557207, 144.969028882927 -37.815119047435, 144.969008465561 -37.815075181053, 144.96903403458 -37.815067690829)))",661W,517A,15873,20201208141521.0,20147.0,Russell Street between Flinders Lane and Collins Street,-37.815088233470604,144.9690319739216,"(-37.815088233470604, 144.9690319739216)"
"MULTIPOLYGON (((144.969101700078 -37.815213064209, 144.969122117535 -37.815256930576, 144.969096548457 -37.815264420818, 144.969076091299 -37.815220469952, 144.969101700078 -37.815213064209)))",655W,517A,15876,20201208141521.0,20147.0,Russell Street between Flinders Lane and Collins Street,-37.8152335899528,144.9690996314894,"(-37.8152335899528, 144.9690996314894)"
"MULTIPOLYGON (((144.965544680124 -37.810184304638, 144.965480680911 -37.8102030509, 144.965474513118 -37.810189765525, 144.965538525153 -37.810171048325, 144.965544680124 -37.810184304638)))",3410N,660A,9883,20201208140839.0,20038.0,Little Lonsdale Street between Russell Street and Swanston Street,-37.8101864948052,144.965516615886,"(-37.8101864948052, 144.965516615886)"
"MULTIPOLYGON (((144.965412502069 -37.810223021702, 144.965348482457 -37.81024172248, 144.965342307157 -37.810228421649, 144.965406319257 -37.810209704523, 144.965412502069 -37.810223021702)))",3414N,660A,9885,20201208140839.0,20038.0,Little Lonsdale Street between Russell Street and Swanston Street,-37.8102251784112,144.9653844226018,"(-37.8102251784112, 144.9653844226018)"
"MULTIPOLYGON (((144.969078095306 -37.815162352497, 144.969101700078 -37.815213064209, 144.969076091299 -37.815220469952, 144.969052487653 -37.815169759156, 144.969078095306 -37.815162352497)))",657W,517A,15875,20201208141521.0,20147.0,Russell Street between Flinders Lane and Collins Street,-37.8151855996622,144.96907729392842,"(-37.8151855996622, 144.96907729392842)"
"MULTIPOLYGON (((144.965278456496 -37.810247091063, 144.965342303727 -37.81022842249, 144.965348482457 -37.81024172248, 144.96528463408 -37.810260391036, 144.965278456496 -37.810247091063)))",3416N,660A,17153,20201208141643.0,20038.0,Little Lonsdale Street between Russell Street and Swanston Street,-37.8102449436264,144.96530646665119,"(-37.8102449436264, 144.96530646665119)"
"MULTIPOLYGON (((144.965612853493 -37.81016432375, 144.965544680124 -37.810184304638, 144.965538525153 -37.810171048325, 144.965606718946 -37.810151109248, 144.965612853493 -37.81016432375)))",3408N,660A,9882,20201208140839.0,20038.0,Little Lonsdale Street between Russell Street and Swanston Street,-37.810167021942206,144.9655831262418,"(-37.810167021942206, 144.9655831262418)"
"MULTIPOLYGON (((144.96905445196 -37.815111557207, 144.969078095306 -37.815162352497, 144.969052487653 -37.815169759156, 144.969028882927 -37.815119047435, 144.96905445196 -37.815111557207)))",659W,517A,15874,20201208141521.0,20147.0,Russell Street between Flinders Lane and Collins Street,-37.81513485470039,144.9690536739612,"(-37.81513485470039, 144.9690536739612)"
"MULTIPOLYGON (((144.965676783114 -37.810145586126, 144.965612853493 -37.81016432375, 144.965606718946 -37.810151109248, 144.965670727462 -37.810132393717, 144.965676783114 -37.810145586126)))",3406N,660A,15612,20201208141454.0,20038.0,Little Lonsdale Street between Russell Street and Swanston Street,-37.8101477997934,144.96564877322578,"(-37.8101477997934, 144.96564877322578)"
"MULTIPOLYGON (((144.965480680911 -37.8102030509, 144.965412502069 -37.810223021702, 144.965406319257 -37.810209704523, 144.965474513118 -37.810189765525, 144.965480680911 -37.8102030509)))",3412N,660A,9884,20201208140839.0,20038.0,Little Lonsdale Street between Russell Street and Swanston Street,-37.810205718709994,144.9654509392532,"(-37.810205718709994, 144.9654509392532)"
"MULTIPOLYGON (((144.957903693323 -37.798720413453, 144.957897226627 -37.798774226857, 144.957870110599 -37.798772076849, 144.957876578474 -37.798718262566, 144.957903693323 -37.798720413453)))",14002E,,23786,20210305154209.0,22514.0,Royal Parade between Grattan Street and Story Street,-37.7987410786356,144.9578902604692,"(-37.7987410786356, 144.9578902604692)"
"MULTIPOLYGON (((144.977787523999 -37.813813766105, 144.977778934459 -37.813865576903, 144.977752704066 -37.813862882486, 144.977761377423 -37.81381108124, 144.977787523999 -37.813813766105)))",11812E,,13821,20201208141114.0,21859.0,Lansdowne Street between Wellington Parade and St Andrews Place,-37.8138334145678,144.97777361278924,"(-37.8138334145678, 144.97777361278924)"
"MULTIPOLYGON (((144.968791720412 -37.814012331799, 144.968769224778 -37.814018816111, 144.968746408274 -37.813968998378, 144.968768887876 -37.8139625183, 144.968791720412 -37.814012331799)))",698E,,11351,20201208140811.0,20148.0,Russell Street between Collins Street and Little Collins Street,-37.813994999277405,144.9687735923504,"(-37.813994999277405, 144.9687735923504)"
"MULTIPOLYGON (((144.94446358371 -37.820318789791, 144.944440102385 -37.820325566697, 144.944411937229 -37.820263920517, 144.944411906657 -37.820263686318, 144.94441189711 -37.82026345132, 144.944411913399 -37.820263216723, 144.944411955401 -37.820262984312, 144.944412022794 -37.820262755854, 144.944412115068 -37.820262533088, 144.94441223152 -37.820262317709, 144.944412371263 -37.820262111356, 144.944412533235 -37.820261915598, 144.944412716203 -37.820261731925, 144.944412918775 -37.820261561735, 144.944413139411 -37.820261406321, 144.94441337643 -37.820261266868, 144.944413634003 -37.820261152901, 144.944430123445 -37.820255301996, 144.944430649543 -37.820255113659, 144.944431142383 -37.820254875003, 144.944431607115 -37.820254603349, 144.944432040277 -37.820254300722, 144.944432438645 -37.820253969373, 144.944432799251 -37.820253611772, 144.944433119412 -37.820253230579, 144.944433377721 -37.820252821109, 144.94446358371 -37.820318789791)))",13633W,IMW1,21876,20201208142154.0,23062.0,Import Lane between Bourke Street and Collins Street,-37.82026618468097,144.944423749485,"(-37.82026618468097, 144.944423749485)"
"MULTIPOLYGON (((144.968500937316 -37.813373661961, 144.968474824591 -37.813381074207, 144.96845181689 -37.813330205951, 144.968477690424 -37.813322858072, 144.968500937316 -37.813373661961)))",742E,,9453,20210208154140.0,20149.0,Russell Street between Little Collins Street and Bourke Street,-37.8133562924304,144.96848124130742,"(-37.8133562924304, 144.96848124130742)"
"MULTIPOLYGON (((144.976816411142 -37.812058822936, 144.976813045355 -37.812076842736, 144.976750430355 -37.812070014653, 144.976754130353 -37.812051986178, 144.976816411142 -37.812058822936)))",12465S,,9490,20201208140746.0,21855.0,St Andrews Place between Lansdowne Street and MacArthur Street,-37.8120632978878,144.9767900856694,"(-37.8120632978878, 144.9767900856694)"
"MULTIPOLYGON (((144.958376483564 -37.794887576215, 144.958369968707 -37.794939249452, 144.958342863888 -37.794937031273, 144.95834941236 -37.794885086465, 144.958376483564 -37.794887576215)))",14094E,,23829,20210305154210.0,22363.0,Royal Parade between Bayles Street and Morrah Street,-37.794907303924,144.9583630424166,"(-37.794907303924, 144.9583630424166)"
"MULTIPOLYGON (((144.96121246644 -37.81261232758, 144.961146413151 -37.812631672104, 144.961136244239 -37.812609711005, 144.961202137136 -37.812590043791, 144.96121246644 -37.81261232758)))",C2936,,11007,20210629124059.0,20009.0,Lonsdale Street between Elizabeth Street and Queen Street,-37.812611216411995,144.9611819454812,"(-37.812611216411995, 144.9611819454812)"
"MULTIPOLYGON (((144.977896872795 -37.812985982589, 144.977923914036 -37.81298875668, 144.977915195425 -37.813040768045, 144.977888160412 -37.813038014785, 144.977896872795 -37.812985982589)))",11840E,,13807,20201208141113.0,21859.0,Lansdowne Street between Wellington Parade and St Andrews Place,-37.8130079009376,144.97790420309258,"(-37.8130079009376, 144.97790420309258)"
"MULTIPOLYGON (((144.958428854767 -37.794456883033, 144.958421753709 -37.794514672322, 144.958394641805 -37.794512510808, 144.958401710869 -37.794454976901, 144.958428854767 -37.794456883033)))",14106E,,23836,20210305154210.0,22604.0,Intersection of Bayles Street and Royal Parade,-37.7944791852194,144.9584151631834,"(-37.7944791852194, 144.9584151631834)"
"MULTIPOLYGON (((144.946986541079 -37.819512309129, 144.946954664245 -37.819440274974, 144.946956357329 -37.819442032478, 144.946958137934 -37.819443726798, 144.946960094243 -37.81944529456, 144.946962211774 -37.819446724158, 144.946964474849 -37.819448005008, 144.946966866715 -37.819449127627, 144.946969369664 -37.819450083705, 144.946971965166 -37.819450866164, 144.946974634007 -37.819451469211, 144.946977356428 -37.819451888382, 144.946980112274 -37.819452120573, 144.946982881145 -37.819452164065, 144.946985638242 -37.819451989603, 144.946994905841 -37.81944940983, 144.947018890821 -37.819503811901, 144.946986541079 -37.819512309129)))",13320E,,21030,20201208142059.0,22448.0,Harbour Esplanade between Collins Street and Bourke Street,-37.81945853373861,144.9469750912686,"(-37.81945853373861, 144.9469750912686)"
"MULTIPOLYGON (((144.9686141806 -37.814169336019, 144.968591406232 -37.814175999328, 144.968569669354 -37.814129192095, 144.96859257756 -37.814122867239, 144.9686141806 -37.814169336019)))",681W,,11345,20201208141640.0,20148.0,Russell Street between Collins Street and Little Collins Street,-37.81415334614,144.9685964028692,"(-37.81415334614, 144.9685964028692)"
"MULTIPOLYGON (((144.977813448434 -37.813658781562, 144.977804873714 -37.813709467948, 144.977778838199 -37.813706794007, 144.977787325731 -37.813656098015, 144.977813448434 -37.813658781562)))",11818E,,13818,20201208141114.0,21859.0,Lansdowne Street between Wellington Parade and St Andrews Place,-37.8136779846188,144.9777995869024,"(-37.8136779846188, 144.9777995869024)"
"MULTIPOLYGON (((144.97780202958 -37.813726276538, 144.977796114635 -37.813761956226, 144.977770049631 -37.813759279974, 144.977778838199 -37.813706794007, 144.977804873714 -37.813709467948, 144.97780202958 -37.813726276538)))",11816E,,13819,20201208141114.0,21859.0,Lansdowne Street between Wellington Parade and St Andrews Place,-37.81373167520517,144.97779232255652,"(-37.81373167520517, 144.97779232255652)"
"MULTIPOLYGON (((144.949604464722 -37.805085345193, 144.949607783053 -37.805065857384, 144.949671354587 -37.805072899421, 144.949668388384 -37.805092551068, 144.949604464722 -37.805085345193)))",7616N,,507,20201223122239.0,20983.0,Victoria Street between Leveson Street and Errol Street,-37.8050803996518,144.94963129109362,"(-37.8050803996518, 144.94963129109362)"
"MULTIPOLYGON (((144.95841470943 -37.7945720075, 144.958407680321 -37.794629286165, 144.958380574329 -37.794627073383, 144.958387602323 -37.7945697947, 144.95841470943 -37.7945720075)))",14102E,,23834,20210305154210.0,22604.0,Intersection of Bayles Street and Royal Parade,-37.7945940338496,144.9584010551666,"(-37.7945940338496, 144.9584010551666)"
"MULTIPOLYGON (((144.958341515768 -37.795168403306, 144.958334802486 -37.795224930447, 144.958307667155 -37.795222950542, 144.958314377766 -37.795166438676, 144.958341515768 -37.795168403306)))",14084E,,23825,20210305154210.0,22363.0,Royal Parade between Bayles Street and Morrah Street,-37.7951902252554,144.9583279757886,"(-37.7951902252554, 144.9583279757886)"
"MULTIPOLYGON (((144.958221528984 -37.796152848568, 144.95821502388 -37.796205106818, 144.958187920386 -37.79620286519, 144.95819441948 -37.796150660908, 144.958221528984 -37.796152848568)))",14060E,,23816,20210305154210.0,22608.0,Royal Parade between Morrah Street and Story Street,-37.796172866010394,144.95820808434283,"(-37.796172866010394, 144.95820808434283)"
"MULTIPOLYGON (((144.975583642387 -37.811923217109, 144.975580286522 -37.811942027375, 144.975501956859 -37.811933269387, 144.975505046044 -37.811914658205, 144.975583642387 -37.811923217109)))",12437S,,9476,20201208140745.0,21855.0,St Andrews Place between Lansdowne Street and MacArthur Street,-37.81192727783699,144.97555091483977,"(-37.81192727783699, 144.97555091483977)"
"MULTIPOLYGON (((144.955864016851 -37.805463873937, 144.955872675049 -37.805414820025, 144.95589882958 -37.805417365666, 144.955890287162 -37.805467040697, 144.955864016851 -37.805463873937)))",5381W,,118,20201223122239.0,20937.0,Peel Street between Victoria Street and Princess Street,-37.805445394852406,144.9558779650986,"(-37.805445394852406, 144.9558779650986)"
"MULTIPOLYGON (((144.976150228334 -37.811985151124, 144.976147019121 -37.812004211752, 144.976075082299 -37.811996366971, 144.976078075685 -37.811977057515, 144.976150228334 -37.811985151124)))",12449S,,9482,20201208140745.0,21855.0,St Andrews Place between Lansdowne Street and MacArthur Street,-37.8119895876972,144.97612012675458,"(-37.8119895876972, 144.97612012675458)"
"MULTIPOLYGON (((144.95821502388 -37.796205106818, 144.958207921285 -37.796262401302, 144.958180817771 -37.796260159672, 144.958187920386 -37.79620286519, 144.95821502388 -37.796205106818)))",14058E,,23795,20210305154209.0,22608.0,Royal Parade between Morrah Street and Story Street,-37.796227127959995,144.9582013414404,"(-37.796227127959995, 144.9582013414404)"
"MULTIPOLYGON (((144.977856249795 -37.813400537887, 144.977847886929 -37.813452371512, 144.977821883219 -37.81344970083, 144.977830556466 -37.813397899573, 144.977856249795 -37.813400537887)))",11828E,,13813,20201208141114.0,21859.0,Lansdowne Street between Wellington Parade and St Andrews Place,-37.813420209537796,144.9778425652408,"(-37.813420209537796, 144.9778425652408)"
"MULTIPOLYGON (((144.955976949907 -37.813027992548, 144.955918165978 -37.813044743262, 144.955911471445 -37.8130300181, 144.955970226397 -37.813013205605, 144.955976949907 -37.813027992548)))",3515S,,10955,20210629124059.0,20046.0,Little Lonsdale Street between William Street and King Street,-37.813028790412595,144.9559507527268,"(-37.813028790412595, 144.9559507527268)"
"MULTIPOLYGON (((144.958045419274 -37.797600285276, 144.958038913611 -37.797655439877, 144.958011805422 -37.797653226058, 144.958018312662 -37.797598056167, 144.958045419274 -37.797600285276)))",14016E,,23839,20210305154210.0,22514.0,Royal Parade between Grattan Street and Story Street,-37.7976214585308,144.9580319740486,"(-37.7976214585308, 144.9580319740486)"
"MULTIPOLYGON (((144.958165525686 -37.79660439758, 144.958158490346 -37.796661143505, 144.958131384908 -37.79665892526, 144.95813839139 -37.79660240323, 144.958165525686 -37.79660439758)))",14042E,,23809,20210305154210.0,22608.0,Royal Parade between Morrah Street and Story Street,-37.796626253431,144.9581518636032,"(-37.796626253431, 144.9581518636032)"
"MULTIPOLYGON (((144.975886107676 -37.811842451651, 144.975882660277 -37.811861039564, 144.975805057203 -37.811852630408, 144.97580863578 -37.811834023124, 144.975886107676 -37.811842451651)))",12442N,,9472,20201208140745.0,21855.0,St Andrews Place between Lansdowne Street and MacArthur Street,-37.8118465192796,144.9758537137224,"(-37.8118465192796, 144.9758537137224)"
"MULTIPOLYGON (((144.97774429117 -37.814072773732, 144.977735537295 -37.814124568184, 144.977709339741 -37.81412187432, 144.9777180144 -37.814070069498, 144.97774429117 -37.814072773732)))",11802E,,13826,20201208141114.0,21859.0,Lansdowne Street between Wellington Parade and St Andrews Place,-37.8140924118932,144.9777302947552,"(-37.8140924118932, 144.9777302947552)"
"MULTIPOLYGON (((144.968884481848 -37.814214705081, 144.968861923168 -37.814221208148, 144.968835548068 -37.814163623987, 144.968858089528 -37.814157126936, 144.968884481848 -37.814214705081)))",682E,,11346,20201208140811.0,20148.0,Russell Street between Collins Street and Little Collins Street,-37.8141942738466,144.968864904892,"(-37.8141942738466, 144.968864904892)"
"MULTIPOLYGON (((144.958144436797 -37.79677450678, 144.958137440451 -37.79683094878, 144.95811032942 -37.796828766479, 144.95811730066 -37.796772535823, 144.958144436797 -37.79677450678)))",14034E,,23806,20210305154210.0,22608.0,Royal Parade between Morrah Street and Story Street,-37.7967962529284,144.95813078882503,"(-37.7967962529284, 144.95813078882503)"
"MULTIPOLYGON (((144.977822209985 -37.813606992638, 144.977813448434 -37.813658781562, 144.977787325731 -37.813656098015, 144.977795999033 -37.813604296763, 144.977822209985 -37.813606992638)))",11820E,,13817,20201208141114.0,21859.0,Lansdowne Street between Wellington Parade and St Andrews Place,-37.8136266323232,144.9778082386336,"(-37.8136266323232, 144.9778082386336)"
"MULTIPOLYGON (((144.976280785369 -37.811999852892, 144.97627768961 -37.812018462182, 144.976214523167 -37.812011573871, 144.976217638722 -37.811993072164, 144.976280785369 -37.811999852892)))",12453S,,9484,20201208140745.0,21855.0,St Andrews Place between Lansdowne Street and MacArthur Street,-37.8120045628002,144.9762542844474,"(-37.8120045628002, 144.9762542844474)"
"MULTIPOLYGON (((144.976599984381 -37.811920091425, 144.976596880459 -37.811938669943, 144.976529296122 -37.811931378758, 144.976532409607 -37.811912741829, 144.976599984381 -37.811920091425)))",12450N,,9496,20201208140746.0,21855.0,St Andrews Place between Lansdowne Street and MacArthur Street,-37.811924594676,144.97657171099,"(-37.811924594676, 144.97657171099)"
"MULTIPOLYGON (((144.958179760515 -37.796489562215, 144.958172740838 -37.796546193964, 144.958145588899 -37.796544346201, 144.958152655214 -37.796487341274, 144.958179760515 -37.796489562215)))",14046E,,23811,20210305154210.0,22608.0,Royal Parade between Morrah Street and Story Street,-37.7965114011738,144.9581661011962,"(-37.7965114011738, 144.9581661011962)"
"MULTIPOLYGON (((144.977770344832 -37.813917390401, 144.977761758003 -37.813969184121, 144.977735359927 -37.813966472401, 144.977744030696 -37.81391468373, 144.977770344832 -37.813917390401)))",11808E,,13823,20201208141114.0,21859.0,Lansdowne Street between Wellington Parade and St Andrews Place,-37.8139370242108,144.97775636765803,"(-37.8139370242108, 144.97775636765803)"
"MULTIPOLYGON (((144.977727289512 -37.814173384823, 144.977726790244 -37.81417636185, 144.977700667462 -37.814173674676, 144.977709339741 -37.81412187432, 144.977735537295 -37.814124568184, 144.977727501516 -37.814172109692, 144.977727289512 -37.814173384823)))",11800E,,13827,20201208141114.0,21859.0,Lansdowne Street between Wellington Parade and St Andrews Place,-37.81415933690972,144.977722059326,"(-37.81415933690972, 144.977722059326)"
"MULTIPOLYGON (((144.968524401761 -37.813424942716, 144.968498045846 -37.813432440889, 144.968474824591 -37.813381074207, 144.96850093618 -37.813373661941, 144.968524401761 -37.813424942716)))",738E,,9454,20201208140744.0,20149.0,Russell Street between Little Collins Street and Bourke Street,-37.8134074124938,144.96850452202779,"(-37.8134074124938, 144.96850452202779)"
"MULTIPOLYGON (((144.977847886929 -37.813452371512, 144.977839522939 -37.813504204215, 144.977813209958 -37.813501502086, 144.977821883219 -37.81344970083, 144.977847886929 -37.813452371512)))",11826E,,13814,20201208141114.0,21859.0,Lansdowne Street between Wellington Parade and St Andrews Place,-37.813472030031,144.9778340779948,"(-37.813472030031, 144.9778340779948)"
"MULTIPOLYGON (((144.955860839957 -37.813008060656, 144.955796744687 -37.813026407906, 144.955790063996 -37.813011717222, 144.95580475689 -37.813007487153, 144.955854151679 -37.812993356326, 144.955860839957 -37.813008060656)))",3518N,,10957,20210629124059.0,20046.0,Little Lonsdale Street between William Street and King Street,-37.813009181653165,144.95582789952766,"(-37.813009181653165, 144.95582789952766)"
"MULTIPOLYGON (((144.958369968707 -37.794939249452, 144.958362717175 -37.794996766672, 144.958335582001 -37.794994784073, 144.958342863888 -37.794937031273, 144.958369968707 -37.794939249452)))",14092E,,23821,20210305154210.0,22363.0,Royal Parade between Bayles Street and Morrah Street,-37.7949614161844,144.9583562200956,"(-37.7949614161844, 144.9583562200956)"
"MULTIPOLYGON (((144.976387267603 -37.811896956102, 144.976384137925 -37.811915685569, 144.976316625878 -37.811908369371, 144.976319759692 -37.811889613842, 144.976387267603 -37.811896956102)))",12444N,,9493,20201208140746.0,21855.0,St Andrews Place between Lansdowne Street and MacArthur Street,-37.811901516197196,144.97635901174021,"(-37.811901516197196, 144.97635901174021)"
"MULTIPOLYGON (((144.957910161169 -37.798666599167, 144.957903693323 -37.798720413453, 144.957876578474 -37.798718262566, 144.957883045203 -37.798664448262, 144.957910161169 -37.798666599167)))",14002E,,23787,20210305154209.0,22514.0,Royal Parade between Grattan Street and Story Street,-37.798687264523004,144.95789672786762,"(-37.798687264523004, 144.95789672786762)"
"MULTIPOLYGON (((144.975936604022 -37.811961346934, 144.975933360543 -37.811980911626, 144.975863971984 -37.811973344827, 144.975866368763 -37.811953547497, 144.975936604022 -37.811961346934)))",12443S,,9479,20201208140745.0,21855.0,St Andrews Place between Lansdowne Street and MacArthur Street,-37.811966099563605,144.9759073818668,"(-37.811966099563605, 144.9759073818668)"
"MULTIPOLYGON (((144.968709962804 -37.814375376164, 144.968687099028 -37.814382066786, 144.968663157843 -37.814330510192, 144.96868599981 -37.814323827309, 144.968709962804 -37.814375376164)))",669W,,11339,20201208141639.0,20148.0,Russell Street between Collins Street and Little Collins Street,-37.814357431323,144.9686912364578,"(-37.814357431323, 144.9686912364578)"
"MULTIPOLYGON (((144.957696349162 -37.804274486686, 144.95770611918 -37.804296010405, 144.957649610373 -37.804310592766, 144.957640252655 -37.804290264845, 144.957696349162 -37.804274486686)))",5108E,,127,20201223122239.0,20928.0,O'Connell Street between Victoria Street and Queensberry Street,-37.804289168277606,144.9576777361064,"(-37.804289168277606, 144.9576777361064)"
"MULTIPOLYGON (((144.955924934036 -37.812989714252, 144.955860839957 -37.813008060656, 144.955854151679 -37.812993356326, 144.955918251176 -37.812975019031, 144.955924934036 -37.812989714252)))",3516N,,10958,20210629124059.0,20046.0,Little Lonsdale Street between William Street and King Street,-37.8129911729034,144.95589662217682,"(-37.8129911729034, 144.95589662217682)"
"MULTIPOLYGON (((144.977455236608 -37.812128005439, 144.977452040299 -37.812146522016, 144.977389036712 -37.81213965155, 144.977392237623 -37.812121091797, 144.977455236608 -37.812128005439)))",12481S,,9508,20201208140746.0,21855.0,St Andrews Place between Lansdowne Street and MacArthur Street,-37.8121326552482,144.97742875756998,"(-37.8121326552482, 144.97742875756998)"
"MULTIPOLYGON (((144.958130301102 -37.796888541806, 144.958123277285 -37.796945196907, 144.958096168954 -37.796942997527, 144.95810319583 -37.796886314545, 144.958130301102 -37.796888541806)))",14030E,,23804,20210305154210.0,22608.0,Royal Parade between Morrah Street and Story Street,-37.796910318518194,144.9581166488546,"(-37.796910318518194, 144.9581166488546)"
"MULTIPOLYGON (((144.977109967793 -37.812090258334, 144.977106729104 -37.812108867896, 144.977104354153 -37.81210860901, 144.977039224833 -37.812101507184, 144.977042471703 -37.8120828482, 144.977109967793 -37.812090258334)))",12471S,,9499,20201208140746.0,21855.0,St Andrews Place between Lansdowne Street and MacArthur Street,-37.812097058159665,144.97708545256316,"(-37.812097058159665, 144.97708545256316)"
"MULTIPOLYGON (((144.976566728765 -37.812030492826, 144.976563532228 -37.812049633889, 144.97649392269 -37.812042042936, 144.976497098672 -37.812023031291, 144.976566728765 -37.812030492826)))",12461S,,9488,20201208140746.0,21855.0,St Andrews Place between Lansdowne Street and MacArthur Street,-37.81203513875359,144.976537602224,"(-37.81203513875359, 144.976537602224)"
"MULTIPOLYGON (((144.968757901797 -37.814478500218, 144.968734993365 -37.814485202695, 144.96871182495 -37.814435331124, 144.968734720755 -37.81442863294, 144.968757901797 -37.814478500218)))",671W,,11340,20201208142212.0,20148.0,Russell Street between Collins Street and Little Collins Street,-37.814461233439005,144.9687394685328,"(-37.814461233439005, 144.9687394685328)"
"MULTIPOLYGON (((144.94973046077 -37.805099548947, 144.949733794927 -37.80507981629, 144.949795304514 -37.805086629508, 144.949791925156 -37.805106477631, 144.94973046077 -37.805099548947)))",7612N,,339,20201223122239.0,20983.0,Victoria Street between Leveson Street and Errol Street,-37.8050944042646,144.94975638922742,"(-37.8050944042646, 144.94975638922742)"
"MULTIPOLYGON (((144.966649080916 -37.814369103648, 144.966584936608 -37.814387963306, 144.96657783267 -37.81437131035, 144.966641564802 -37.814352692302, 144.966649080916 -37.814369103648)), ((144.966650252348 -37.814371660689, 144.966586028386 -37.81439052528, 144.966650241612 -37.814371637974, 144.966650252348 -37.814371660689)))",2191S,,9084,20210623144219.0,20095.0,Little Collins Street between Russell Street and Swanston Street,-37.814372731857496,144.9666265856229,"(-37.814372731857496, 144.9666265856229)"
"MULTIPOLYGON (((144.968734720755 -37.81442863294, 144.968711826086 -37.814435331144, 144.968687099028 -37.814382066786, 144.968709962804 -37.814375376164, 144.968734720755 -37.81442863294)))",673W,,11341,20201208142212.0,20148.0,Russell Street between Collins Street and Little Collins Street,-37.8144100079948,144.9687156658856,"(-37.8144100079948, 144.9687156658856)"
