,bay_id,the_geom,marker_id,meter_id,last_edit,rd_seg_id,rd_seg_dsc,mean_lat,mean_long,location
174,610,"MULTIPOLYGON (((144.966188218877 -37.798532726515, 144.966216961913 -37.798535852548, 144.966213460357 -37.798558383716, 144.966209503363 -37.798583524041, 144.966180278152 -37.798580586136, 144.966188218877 -37.798532726515)))",,,20201223122239.0,20813.0,Faraday Street between Lygon Street and Cardigan Street,-37.798553966578496,144.96619944025647,"(-37.798553966578496, 144.96619944025647)"
175,1531,"MULTIPOLYGON (((144.971246734216 -37.796281983371, 144.971249842136 -37.796263899775, 144.971254805789 -37.79626441154, 144.971319555194 -37.796271504469, 144.971316378937 -37.796289637356, 144.971246734216 -37.796281983371)))",,,20201223122240.0,20780.0,Palmerston Street between Canning Street and Rathdowne Street,-37.79627556998033,144.971272341748,"(-37.79627556998033, 144.971272341748)"
176,2662,"MULTIPOLYGON (((144.911797667314 -37.830424916509, 144.911797693454 -37.830375391571, 144.911836044071 -37.830378783416, 144.911836000713 -37.830428637876, 144.911797667314 -37.830424916509)))",,,20201223122242.0,22165.0,Todd Road between Cook Street and Wharf Road,-37.8304065291762,144.9118130145732,"(-37.8304065291762, 144.9118130145732)"
177,6699,"MULTIPOLYGON (((144.919191221541 -37.79740550407, 144.919213280123 -37.797392423113, 144.91925061535 -37.797433268749, 144.919228485171 -37.797446391704, 144.919191221541 -37.79740550407)))",,,20201223122249.0,21842.0,Hobsons Road between Kensington Road and Stock Bridge,-37.79741661834121,144.9192149647452,"(-37.79741661834121, 144.9192149647452)"
178,4012,"MULTIPOLYGON (((144.98749070219 -37.815518786436, 144.987524566048 -37.815522613973, 144.98746417509 -37.815557013446, 144.987432071111 -37.815553426848, 144.98749070219 -37.815518786436)))",,,20201223122246.0,21925.0,George Street between Simpson Street and Powlett Street,-37.8155341254278,144.9874804433258,"(-37.8155341254278, 144.9874804433258)"
179,2494,"MULTIPOLYGON (((144.965435983109 -37.797036711407, 144.965439620978 -37.797015301877, 144.965501456901 -37.797021916009, 144.965497819049 -37.797043325542, 144.965435983109 -37.797036711407)))",,,20201223122242.0,20815.0,Elgin Street between Cardigan Street and Swanston Street,-37.797030793248396,144.9654621726292,"(-37.797030793248396, 144.9654621726292)"
180,5400,"MULTIPOLYGON (((144.953233618715 -37.777282438743, 144.953229737222 -37.777302554108, 144.953174661279 -37.77729592141, 144.953178817823 -37.777276001877, 144.953233618715 -37.777282438743)))",,,20201223122248.0,22397.0,Park Street between West Coburg Tramway and Royal Parade,-37.7772878709762,144.9532100907508,"(-37.7772878709762, 144.9532100907508)"
181,5337,"MULTIPOLYGON (((144.940062849023 -37.77846928522, 144.940087664673 -37.778458430172, 144.940098521005 -37.778474555556, 144.940114128362 -37.778498146473, 144.940089526816 -37.778509141349, 144.940069910233 -37.778479911936, 144.940062849023 -37.77846928522)))",,,20201223122248.0,22936.0,Kirrip Crescent from Cade Way,-37.778479822275145,144.9400836355907,"(-37.778479822275145, 144.9400836355907)"
182,8163,"MULTIPOLYGON (((144.977108181286 -37.838891697283, 144.977072970194 -37.838941927479, 144.977069004626 -37.838942834406, 144.977045772653 -37.838932343838, 144.977048900428 -37.838927622262, 144.977069693136 -37.838900499148, 144.977095901518 -37.838894506108, 144.977108181286 -37.838891697283)))",,,20201223122252.0,22473.0,Slater Street from St Kilda Road,-37.83891539097587,144.9770773256409,"(-37.83891539097587, 144.9770773256409)"
183,2749,"MULTIPOLYGON (((144.956889630627 -37.795053719911, 144.956892601939 -37.795030331831, 144.956944110662 -37.795069322707, 144.956941091522 -37.795093787766, 144.956889630627 -37.795053719911)))",,,20201223122242.0,22356.0,Fitzgibbon Street between Morrah Street and Bayles Street,-37.7950601764252,144.95691141307537,"(-37.7950601764252, 144.95691141307537)"
184,8995,"MULTIPOLYGON (((144.971779703837 -37.809604427458, 144.971755729327 -37.809611425795, 144.971747702077 -37.809593245051, 144.971972271978 -37.809529849065, 144.971980238075 -37.809547609693, 144.971864774498 -37.809579594547, 144.971779703837 -37.809604427458)))",,,20201208140750.0,20001.0,Lonsdale Street between Spring Street and Exhibition Street,-37.809581511295285,144.97184001766126,"(-37.809581511295285, 144.97184001766126)"
185,5389,"MULTIPOLYGON (((144.935222936625 -37.796593536398, 144.93516909694 -37.796596301645, 144.935166278765 -37.79657083191, 144.93522033882 -37.796568064219, 144.935222936625 -37.796593536398)))",,,20201223122248.0,22520.0,Bent Street between Chelmsford Street and Hardiman Street,-37.796584454114004,144.935200317555,"(-37.796584454114004, 144.935200317555)"
186,5892,"MULTIPOLYGON (((144.978920071908 -37.833903956016, 144.978930104118 -37.833854195014, 144.97895605824 -37.83385761355, 144.978946230369 -37.833906466072, 144.978920071908 -37.833903956016)))",,,20201223122249.0,22263.0,Domain Street between Bromby Street and Domain Road,-37.833885237333604,144.9789345073086,"(-37.833885237333604, 144.9789345073086)"
187,6372,"MULTIPOLYGON (((144.938389430086 -37.799619644592, 144.938393282423 -37.79959840557, 144.938461070827 -37.79960585185, 144.938457219844 -37.799627083689, 144.938389430086 -37.799619644592)))",,,20201223122249.0,21301.0,Arden Street between Fogarty Street and Langford Street,-37.7996141260586,144.93841808665317,"(-37.7996141260586, 144.93841808665317)"
188,5917,"MULTIPOLYGON (((144.97249913184 -37.822237733741, 144.972490554684 -37.822218091801, 144.972549968176 -37.822202635092, 144.97255807261 -37.822222696948, 144.97249913184 -37.822237733741)))",,,20201223122249.0,22696.0,Linlithgow Avenue between St Kilda Road and Alexandra Avenue,-37.8222237782646,144.97251937182997,"(-37.8222237782646, 144.97251937182997)"
189,5392,"MULTIPOLYGON (((144.976615270553 -37.80883451889, 144.976623862002 -37.808783597636, 144.97665089882 -37.808786392656, 144.976642206714 -37.808837797917, 144.976615270553 -37.80883451889)))",,,20201223122248.0,21567.0,Morrison Place between Victoria Parade and Albert Street,-37.8088153651978,144.97662950172838,"(-37.8088153651978, 144.97662950172838)"
190,5300,"MULTIPOLYGON (((144.918119041299 -37.793047099439, 144.918137326795 -37.793037032169, 144.918169344605 -37.793072054489, 144.918151540555 -37.793082689902, 144.918119041299 -37.793047099439)))",,,20201223122248.0,21812.0,Willis Street between Stockmans Way and The Crescent,-37.7930571950876,144.9181392589106,"(-37.7930571950876, 144.9181392589106)"
191,6745,"MULTIPOLYGON (((144.987273263587 -37.815535687913, 144.987282424996 -37.815530258105, 144.987332207167 -37.81550075283, 144.987361572396 -37.815504168279, 144.987316568932 -37.815530841739, 144.987302822761 -37.81553898954, 144.987273263587 -37.815535687913)))",,,20201223122251.0,21925.0,George Street between Simpson Street and Powlett Street,-37.81552519804557,144.98730601763228,"(-37.81552519804557, 144.98730601763228)"
192,5336,"MULTIPOLYGON (((144.956747610159 -37.7962090806, 144.956797880686 -37.796257547567, 144.956797168196 -37.79626333338, 144.956794825131 -37.796282340914, 144.956744540181 -37.79623386108, 144.956745984602 -37.796222202377, 144.956747610159 -37.7962090806)))",,,20201223122248.0,22330.0,Fitzgibbon Street between Story Street and Morrah Street,-37.79623963521686,144.95676794558773,"(-37.79623963521686, 144.95676794558773)"
193,5432,"MULTIPOLYGON (((144.940429013728 -37.777685118, 144.940386632752 -37.777657076653, 144.940375234087 -37.777649488578, 144.94037504934 -37.77764939523, 144.940374867093 -37.777649211807, 144.940374684821 -37.777649029286, 144.940374500074 -37.777648935938, 144.940374412018 -37.777648754162, 144.940374229771 -37.77764857074, 144.94037414058 -37.777648388945, 144.940374052524 -37.77764820717, 144.940373870277 -37.777648023747, 144.940373781087 -37.777647841952, 144.940373786087 -37.777647661804, 144.940373698031 -37.777647480029, 144.94037361134 -37.77764720816, 144.940373616341 -37.777647028012, 144.940373621341 -37.777646847863, 144.940373626341 -37.777646667715, 144.940373633842 -37.777646397493, 144.940373638842 -37.777646217345, 144.940373643842 -37.777646037197, 144.940373743033 -37.777645858696, 144.94037384109 -37.777645680175, 144.94037384859 -37.777645409953, 144.940373947781 -37.777645231452, 144.940374140029 -37.777645054578, 144.940374238085 -37.777644876058, 144.940374337251 -37.777644698457, 144.940374526999 -37.777644611658, 144.940374625055 -37.777644433137, 144.940374817302 -37.777644256263, 144.940390346317 -37.777631193084, 144.940446331834 -37.777668301152, 144.940446683031 -37.777668533488, 144.940429013728 -37.777685118)))",,,20201223122248.0,22932.0,Cade Way between Garrard Street and Garrard Street,-37.77765007899936,144.9403819940079,"(-37.77765007899936, 144.9403819940079)"
194,4440,"MULTIPOLYGON (((144.983184953788 -37.835252778335, 144.983174074193 -37.835304836719, 144.983153328331 -37.835301991363, 144.983164186587 -37.835250091223, 144.983184953788 -37.835252778335)))",,,20201223122246.0,22242.0,Leopold Street between Toorak Road and Domain Road,-37.835272495195,144.9831722993374,"(-37.835272495195, 144.9831722993374)"
195,5408,"MULTIPOLYGON (((144.976449305434 -37.832608933329, 144.976426182672 -37.832645127208, 144.976419435647 -37.832656191217, 144.976394289689 -37.83264488091, 144.976424525368 -37.832597788825, 144.976449305434 -37.832608933329)))",,,20201223122248.0,22469.0,Dallas Brooks Drive between Domain Road and Birdwood Avenue,-37.832626975802995,144.97642717404065,"(-37.832626975802995, 144.97642717404065)"
196,2280,"MULTIPOLYGON (((144.945755208261 -37.825093638737, 144.945752375588 -37.825114627171, 144.945712836575 -37.825111270722, 144.945679024149 -37.825108630582, 144.945680599866 -37.825091058188, 144.945679757681 -37.825088898704, 144.945678006241 -37.825087080219, 144.945676109021 -37.825086421702, 144.945755208261 -37.825093638737)))",,,20201223122242.0,22126.0,Lorimer Street between Westgate Freeway and Hartley Street,-37.82509725164022,144.945707680627,"(-37.82509725164022, 144.945707680627)"
197,3546,"MULTIPOLYGON (((144.922446177576 -37.798828042727, 144.922437857611 -37.798869135384, 144.922411274583 -37.798865149127, 144.922418166757 -37.798823902414, 144.922435969664 -37.798826469426, 144.922446177576 -37.798828042727)))",,,20201223122245.0,21741.0,Childers Street between Ormond Street and Kensington Road,-37.798840123634164,144.92243260396117,"(-37.798840123634164, 144.92243260396117)"
198,5487,"MULTIPOLYGON (((144.921505432983 -37.798686712046, 144.921494890437 -37.7987280709, 144.921471176009 -37.798724500037, 144.921470840362 -37.798724440944, 144.92147050971 -37.798724365717, 144.921470186299 -37.798724275299, 144.921469869017 -37.798724168768, 144.921469561221 -37.798724047985, 144.92146926407 -37.79872391207, 144.921468976404 -37.798723761904, 144.921468701578 -37.798723599348, 144.921468438508 -37.798723422581, 144.921468190523 -37.798723234365, 144.921467956513 -37.798723033779, 144.921467738672 -37.798722823566, 144.921467538187 -37.798722601944, 144.921467353847 -37.798722371595, 144.921467187896 -37.79872213346, 144.921467040359 -37.798721886638, 144.921466911162 -37.798721633832, 144.921466801439 -37.798721375061, 144.921466712274 -37.798721112147, 144.921466643669 -37.798720845091, 144.921466595596 -37.798720574792, 144.921466568007 -37.798720303052, 144.921466560876 -37.798720030772, 144.921466574202 -37.798719757952, 144.921466609071 -37.798719486414, 144.921466664297 -37.798719217938, 144.92147574473 -37.798682211173, 144.921505432983 -37.798686712046)))",,,20201223122248.0,21741.0,Childers Street between Ormond Street and Kensington Road,-37.798718923329545,144.92147157002907,"(-37.798718923329545, 144.92147157002907)"
199,5902,"MULTIPOLYGON (((144.909275564894 -37.803748475865, 144.909335985864 -37.803731482859, 144.90934571493 -37.80375230409, 144.909343623021 -37.803752257037, 144.909341077929 -37.803752371358, 144.909325769851 -37.803755596113, 144.90932483108 -37.80375585971, 144.909283577866 -37.803767441763, 144.909275564894 -37.803748475865)))",,,20201223122249.0,21685.0,Sims Street between Dynon Road and Footscray Road,-37.80375158496222,144.9093168567032,"(-37.80375158496222, 144.9093168567032)"
200,2492,"MULTIPOLYGON (((144.965497819049 -37.797043325542, 144.965501456901 -37.797021916009, 144.965563293947 -37.79702853103, 144.965559656112 -37.797049940565, 144.965497819049 -37.797043325542)))",,,20201223122242.0,20815.0,Elgin Street between Cardigan Street and Swanston Street,-37.797037407737605,144.9655240090116,"(-37.797037407737605, 144.9655240090116)"
201,7904,"MULTIPOLYGON (((144.911798513881 -37.828447629777, 144.911798481768 -37.828379213536, 144.911798489372 -37.82834569748, 144.91180990657 -37.828342836922, 144.911816510631 -37.828351152872, 144.911830223602 -37.82836986641, 144.911834408205 -37.828377598746, 144.911836852544 -37.828383949366, 144.911838334656 -37.828391183185, 144.911838086445 -37.828445807506, 144.911798513881 -37.828447629777)))",,,20201223122252.0,22165.0,Todd Road between Cook Street and Wharf Road,-37.82838932414336,144.91181802923228,"(-37.82838932414336, 144.91181802923228)"
202,5588,"MULTIPOLYGON (((144.945134904706 -37.805372387096, 144.94514424984 -37.805319458376, 144.945173827671 -37.805322849254, 144.945164389691 -37.805375768246, 144.945134904706 -37.805372387096)))",,,20201223122248.0,21341.0,Abbotsford Street between Miller Street and Victoria Street,-37.805352570013596,144.9451504553228,"(-37.805352570013596, 144.9451504553228)"
203,2278,"MULTIPOLYGON (((144.945758534414 -37.81704471354, 144.945783243767 -37.817100751514, 144.945757499437 -37.817107901956, 144.945732771785 -37.817051869065, 144.945758534414 -37.81704471354)))",,,20210623144303.0,22452.0,Harbour Esplanade between Bourke Street and La Trobe Street,-37.81706998992299,144.94575811676344,"(-37.81706998992299, 144.94575811676344)"
204,2501,"MULTIPOLYGON (((144.972010256608 -37.799688523529, 144.972001892883 -37.799746166701, 144.971970935135 -37.799763444477, 144.971979248584 -37.799706145593, 144.972010256608 -37.799688523529)))",,,20201223122242.0,20677.0,Barkly Street between Canning Street and Rathdowne Street,-37.799718560765804,144.9719945179636,"(-37.799718560765804, 144.9719945179636)"
205,5815,"MULTIPOLYGON (((144.95660356984 -37.796694280532, 144.956596857851 -37.79674777961, 144.956571242883 -37.796746163621, 144.956577700385 -37.796692586232, 144.95660356984 -37.796694280532)))",,,20201223122249.0,22330.0,Fitzgibbon Street between Story Street and Morrah Street,-37.796715018105395,144.9565905881598,"(-37.796715018105395, 144.9565905881598)"
206,3395,"MULTIPOLYGON (((144.926269189603 -37.795767432598, 144.926326034226 -37.795734318754, 144.926326723828 -37.795734147058, 144.926327346431 -37.79573450317, 144.926342152735 -37.795750680406, 144.926285473628 -37.795783763829, 144.926269189603 -37.795767432598)))",,,20201223122245.0,22886.0,Henry Street between Derby Street and Altona Street,-37.795753182630435,144.92630658715058,"(-37.795753182630435, 144.92630658715058)"
207,2496,"MULTIPOLYGON (((144.965126800263 -37.797003637488, 144.965130438219 -37.79698222797, 144.965192274055 -37.796988843164, 144.965188636116 -37.797010252684, 144.965126800263 -37.797003637488)))",,,20201223122242.0,20815.0,Elgin Street between Cardigan Street and Swanston Street,-37.7969977197588,144.96515298978318,"(-37.7969977197588, 144.96515298978318)"
