pay_stay_zone,day_of_week,start_time,end_time,minimum_stay,maximum_stay,cost_per_hour
30001045,7,7:30,18:30,0,120,320
30001046,2,7:30,18:30,0,120,320
30001046,3,7:30,18:30,0,120,320
30001046,4,7:30,18:30,0,120,320
30001046,5,7:30,18:30,0,120,320
30001046,6,7:30,18:30,0,120,320
30001046,7,7:30,12:30,0,120,320
30001047,2,7:30,18:30,0,60,320
30001047,3,7:30,18:30,0,60,320
30001047,4,7:30,18:30,0,60,320
30001047,5,7:30,18:30,0,60,320
30001047,6,7:30,18:30,0,60,320
30001047,7,7:30,12:30,0,60,320
30001048,2,7:30,18:30,0,60,320
30001048,3,7:30,18:30,0,60,320
30001048,4,7:30,18:30,0,60,320
30001048,5,7:30,18:30,0,60,320
30001048,6,7:30,18:30,0,60,320
30001048,7,7:30,12:30,0,60,320
30001049,1,7:30,23:00,0,120,320
30001049,2,7:30,23:00,0,120,320
30001049,3,7:30,23:00,0,120,320
30001049,4,7:30,23:00,0,120,320
30001049,5,7:30,23:00,0,120,320
30001049,6,7:30,23:00,0,120,320
30001049,7,7:30,23:00,0,120,320
30001050,2,7:30,18:30,0,60,320
30001050,3,7:30,18:30,0,60,320
30001050,4,7:30,18:30,0,60,320
30001050,5,7:30,18:30,0,60,320
30001050,6,7:30,18:30,0,60,320
30001050,7,7:30,12:30,0,60,320
30001051,2,7:30,18:30,0,120,320
30001051,3,7:30,18:30,0,120,320
30001051,4,7:30,18:30,0,120,320
30001051,5,7:30,18:30,0,120,320
30001051,6,7:30,18:30,0,120,320
30001051,7,7:30,12:30,0,120,320
30001052,2,7:30,18:30,0,660,80
30001052,3,7:30,18:30,0,660,80
30001052,4,7:30,18:30,0,660,80
30001052,5,7:30,18:30,0,660,80
30001052,6,7:30,18:30,0,660,80
30001052,7,7:30,12:30,0,300,80
30001053,2,7:30,23:00,0,60,320
30001053,3,7:30,23:00,0,60,320
30001053,4,7:30,23:00,0,60,320
30001053,5,7:30,23:00,0,60,320
30001053,6,7:30,23:00,0,60,320
30001053,7,7:30,23:00,0,60,320
30001054,2,7:30,18:30,0,240,170
30001054,3,7:30,18:30,0,240,170
30001054,4,7:30,18:30,0,240,170
30001054,5,7:30,18:30,0,240,170
30001054,6,7:30,18:30,0,240,170
30001054,7,7:30,12:30,0,240,170
30001055,2,7:30,18:30,0,240,170
30001055,3,7:30,18:30,0,240,170
30001055,4,7:30,18:30,0,240,170
30001055,5,7:30,18:30,0,240,170
30001055,6,7:30,18:30,0,240,170
30001055,7,7:30,12:30,0,240,170
30001056,2,7:30,18:30,0,60,320
30001056,3,7:30,18:30,0,60,320
30001056,4,7:30,18:30,0,60,320
30001056,5,7:30,18:30,0,60,320
30001056,6,7:30,18:30,0,60,320
30001056,7,7:30,12:30,0,60,320
30001057,2,7:30,18:30,0,240,170
30001057,3,7:30,18:30,0,240,170
30001057,4,7:30,18:30,0,240,170
