marker_id,maximum_stay,cost_per_hour
10178E,60,320
10176E,60,320
10198E,60,320
10194E,60,320
10173W,60,320
10197W,60,320
10187W,60,320
10199W,60,320
10169W,60,320
10171W,60,320
10188E,60,320
10185W,60,320
10182E,60,320
10184E,60,320
10162E,60,320
10189W,60,320
10159W,60,320
10195W,60,320
10181W,60,320
10200E,60,320
10174E,60,320
10196E,60,320
10155W,60,320
10167W,60,320
10177W,60,320
10190E,60,320
10186E,60,320
10191W,60,320
10170E,60,320
10153W,60,320
10180E,60,320
10166E,60,320
10151W,60,320
10179W,60,320
10168E,60,320
10183W,60,320
12210N,120,320
12235S,120,320
12223S,120,320
12203S,120,320
12202N,120,320
12225S,120,320
12217S,120,320
12227S,120,320
12241S,120,320
12215S,120,320
12206N,120,320
12221S,120,320
12231S,120,320
12237S,120,320
12251S,120,320
12200N,120,320
12213S,120,320
12212N,120,320
12205S,120,320
12245S,120,320
12229S,120,320
12253S,120,320
12211S,120,320
12208N,120,320
12243S,120,320
12233S,120,320
12207S,120,320
12219S,120,320
12214N,120,320
12204N,120,320
12239S,120,320
12247S,120,320
12201S,120,320
12209S,120,320
12249S,120,320
12336N,60,320
12324N,60,320
12338N,60,320
12329S,60,320
12331S,60,320
12334N,60,320
12371S,60,320
12325S,60,320
12347S,60,320
12321S,60,320
12330N,60,320
12326N,60,320
12339S,60,320
12361S,60,320
12353S,60,320
12320N,60,320
12365S,60,320
12342N,60,320
12343S,60,320
12359S,60,320
12328N,60,320
12363S,60,320
12327S,60,320
12367S,60,320
12335S,60,320
12373S,60,320
12349S,60,320
12357S,60,320
12377S,60,320
12345S,60,320
12323S,60,320
12355S,60,320
12369S,60,320
12337S,60,320
12341S,60,320
12340N,60,320
12322N,60,320
12351S,60,320
12375S,60,320
C9000,120,320
C9020,120,320
C9044,120,320
C9084,120,320
C9004,120,320
C9048,120,320
C9088,120,320
C9072,120,320
C9076,120,320
12806N,120,320
12801S,120,320
12816N,120,320
C9036,120,320
C9012,120,320
12805S,120,320
C9008,120,320
12813S,120,320
12812N,120,320
C9040,120,320
12807S,120,320
C9056,120,320
12804N,120,320
12808N,120,320
C9052,120,320
C9060,120,320
C9064,120,320
C9032,120,320
C9028,120,320
12814N,120,320
12810N,120,320
12811S,120,320
C9080,120,320
12802N,120,320
C9068,120,320
C9016,120,320
12800N,120,320
C9024,120,320
12809S,120,320
12803S,120,320
3089S,60,550
C3002,60,550
3016N,60,550
C3120,60,550
3027S,60,550
C3030,60,550
C3058,60,550
C3124,60,550
C3018,60,550
C3054,60,550
C3046,60,550
C3116,60,550
C2994,60,550
C3034,60,550
C3128,60,550
C3114,60,550
C3110,60,550
C3092,60,550
C3070,60,550
C2998,60,550
C3066,60,550
C3108,60,550
C3096,60,550
C3078,60,550
3056N,60,550
C2984,60,550
3090N,60,550
C3050,60,550
C3010,60,550
3008N,60,550
C3006,60,550
3099S,60,550
C3106,60,550
C3014,60,550
C3100,60,550
3093S,60,550
3052N,60,550
C3132,60,550
3109S,60,550
C3134,60,550
3103S,60,550
3025S,60,550
3091S,60,550
C3062,60,550
C3076,60,550
C3136,60,550
3012N,60,550
3023S,60,550
C3104,60,550
3082N,60,550
3029S,60,550
C3038,60,550
3000N,60,550
C2990,60,550
C3118,60,550
C3130,60,550
3086N,60,550
C3042,60,550
C2982,60,550
2996N,60,550
C2986,60,550
3107S,60,550
3094N,60,550
C3088,60,550
3097S,60,550
3095S,60,550
2988N,60,550
C3072,60,550
C3026,60,550
3021S,60,550
C3022,60,550
C3122,60,550
3004N,60,550
C3112,60,550
3101S,60,550
C3126,60,550
3105S,60,550
11951W,120,320
11923W,120,320
11929W,120,320
11945W,120,320
11935W,120,320
11943W,120,320
11941W,120,320
11931W,120,320
11939W,120,320
11925W,120,320
11937W,120,320
11949W,120,320
11933W,120,320
11927W,120,320
11947W,120,320
11921W,120,320
4537W,180,550
4535W,180,550
4525W,180,550
4515W,180,550
4513W,180,550
4517W,180,550
4529W,180,550
4523W,180,550
4527W,180,550
4533W,180,550
4531W,180,550
4519W,180,550
4521W,180,550
C7684,240,170
C7712,240,170
C7694,240,170
C7708,240,170
C7710,240,170
C7690,240,170
C7688,240,170
C7700,240,170
C7692,240,170
C7686,240,170
C7714,240,170
C7704,240,170
